analysis_id,scope,batch_id,cluster_id,finding_id,classification,relation_family,cause_theme,effect_theme,gap_label,explanation,policy_evidence_ids,sentiment_evidence_ids,counterevidence_ids,evidence_quality,direct_causal_comparability,direct_comparability_share,policy_to_sentiment_deficit,sentiment_to_policy_deficit,classification_agreement,relation_agreement,representative_confidence,mean_confidence,mean_evidence_faithfulness,recurrent_runs,total_runs,usable_runs,run_recurrence,attempt_recurrence,finding_match_stability,evidence_jaccard_stability,member_finding_ids,machine_retained
global__batch_01,global,1,global__batch_01__cluster_01,S1,partial_alignment,enables_or_supports,AI tools,teacher communication,AI support for teacher communication,"Policy evidence states AI can assist in writing student reports, ensuring accuracy and efficiency. Sentiment evidence states AI can help teachers communicate more clearly. Both express AI as a support for teacher communication tasks, but policy focuses on report writing while sentiment is broader. Directly comparable causal meaning exists, with minor difference in scope.","[""clean_sentence_005462""]","[""clean_sentence_018986""]",[],adequate,True,1.0,0.39999999999999997,0.39999999999999997,1.0,1.0,0.7,0.6999999999999998,0.8333333333333334,3,4,3,1.0,0.75,0.6278236914600551,0.4444444444444444,"[""run_1:S1"", ""run_2:S1"", ""run_4:S1""]",True
global__batch_01,global,1,global__batch_01__cluster_04,S3,partial_alignment,requires_or_depends_on,teacher training,effective AI use,Teacher training for AI use,"Policy evidence indicates teachers are expected to be able to use AI supported by appropriate training and guidance. Sentiment evidence shows learners consider it extremely important that staff have skills to use GenAI effectively and responsibly. Both link teacher training/skills to effective AI use, but policy is a requirement while sentiment is a perceived importance.","[""clean_sentence_002786""]","[""clean_sentence_019187""]",[],adequate,True,1.0,0.35,0.35,1.0,1.0,0.7,0.7,0.8500000000000001,2,4,3,0.6666666666666666,0.5,0.875,1.0,"[""run_1:S4"", ""run_2:S3""]",True
global__batch_02,global,2,global__batch_02__cluster_01,S1,partial_alignment,risks_or_threatens,AI-assisted learning,critical thinking,AI reduces critical thinking,"Policy evidence states AI can enhance decision-making but humans remain critical consumers, implying AI does not replace critical thinking. Sentiment evidence expresses concern that AI-assisted learning could reduce students' critical thinking and problem-solving. Both address AI's impact on critical thinking, but policy emphasizes human oversight while sentiment highlights risk of reduction. Directly comparable causal relationship with differing emphasis.","[""clean_sentence_008623""]","[""clean_sentence_017817""]",[],adequate,True,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.8,0.8000000000000002,0.8333333333333334,3,3,3,1.0,1.0,0.8777777777777778,1.0,"[""run_1:S1"", ""run_2:S1"", ""run_3:S1""]",True
global__batch_03,global,3,global__batch_03__cluster_06,S3,alignment,enables_or_supports,AI tools,teaching and learning support,AI support for education,"Policy evidence states generative AI has potential to support education delivery by streamlining tasks and supporting students. Sentiment evidence notes AI can provide personal learning and act as a study coach, enhancing engagement. Both express AI's enabling role in education, with closely aligned causal meaning.","[""clean_sentence_009416""]","[""clean_sentence_018320""]",[],strong,True,1.0,0.15000000000000002,0.15000000000000002,1.0,1.0,0.9,0.8500000000000001,0.8500000000000001,2,4,3,0.6666666666666666,0.5,0.6706896551724139,1.0,"[""run_3:S3"", ""run_4:S3""]",True
france__batch_01,france,1,france__batch_01__cluster_01,S1,partial_alignment,enables_or_supports,AI training,AI usage,Training impact on AI usage,"Policy states training had limited impact on AI usage. Sentiment indicates women's lack of self-confidence and need for training influences non-use. Both address training as a factor in AI adoption, but policy emphasizes limited impact while sentiment implies training need is a barrier. Directly comparable causal evidence exists, but emphasis differs.","[""clean_sentence_005123""]","[""clean_sentence_018632""]",[],adequate,True,1.0,0.6,0.6,1.0,1.0,0.7,0.7,0.8,2,3,3,0.6666666666666666,0.6666666666666666,1.0,1.0,"[""run_1:S1"", ""run_2:S1""]",True
france__batch_02,france,2,france__batch_02__cluster_02,S4,partial_alignment,risks_or_threatens,AI use,ethical risks,Ethical risks of AI acknowledged in both policy and sentiment,"Policy sentence 011254 lists ethical risks of AI including bias, discrimination, and data disclosure. Sentiment sentence 018929 reports ethical risks as top barrier to training among those not wishing to train. Both identify ethical risks as a concern, but policy enumerates specific risks while sentiment reports them as a barrier to training. Directly comparable on ethical risk theme, with policy more detailed and sentiment focused on training reluctance.","[""clean_sentence_011254""]","[""clean_sentence_018929""]",[],strong,True,1.0,0.43333333333333335,0.43333333333333335,1.0,1.0,0.8,0.7666666666666666,0.9,3,3,3,1.0,1.0,0.7596422915252622,1.0,"[""run_1:S2"", ""run_2:S1"", ""run_3:S4""]",True
france__batch_02,france,2,france__batch_02__cluster_03,S3,partial_alignment,enables_or_supports,AI training,AI understanding,Training for AI literacy,"Policy emphasizes school's role in supporting families for technological equity and preparing workers with AI skills. Sentiment states citizens demand real training to understand AI. Both see training as enabling AI understanding, but policy focuses on institutional support and equity, while sentiment emphasizes public demand for comprehensive training. Directly comparable causal evidence exists with differing emphasis.","[""clean_sentence_012375"", ""clean_sentence_012701""]","[""clean_sentence_015925""]",[],adequate,True,1.0,0.5,0.5,1.0,1.0,0.7,0.7,0.9,2,3,3,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.6666666666666666,"[""run_1:S3"", ""run_2:S5""]",True
france__batch_02,france,2,france__batch_02__cluster_06,S2,partial_alignment,enables_or_supports,digital mediation center,awareness of digital help,Digital mediation boosts awareness,"Sentiment sentence 017896 states living near a digital mediation center boosts awareness of digital help and encourages seeking assistance. Policy sentence 012375 states the school's role is to support families to improve equity of access and technological acculturation. Both involve support mechanisms improving digital access, but policy focuses on school support for families while sentiment focuses on mediation centers for individuals. Related but not identical causes and outcomes.","[""clean_sentence_012375""]","[""clean_sentence_017896""]",[],adequate,True,1.0,0.5,0.5,1.0,1.0,0.7,0.7,0.9,2,3,3,0.6666666666666666,0.6666666666666666,0.7390829694323144,1.0,"[""run_2:S2"", ""run_3:S2""]",True
france__batch_02,france,2,france__batch_02__cluster_07,S3,partial_alignment,requires_or_depends_on,multidisciplinary training,digital mediators' tasks,Training needs for digital mediators,"Sentiment sentence 017904 states need for initial and lifelong multidisciplinary training for digital mediators to carry out varied tasks. Policy sentence 012074 states that considering only scientific training or only literacy risks being inadequate for citizens to understand future evolutions. Both emphasize need for broad training, but policy targets citizens broadly while sentiment targets digital mediators specifically. Comparable causal relation of training enabling competence.","[""clean_sentence_012074""]","[""clean_sentence_017904""]",[],adequate,True,1.0,0.55,0.55,1.0,1.0,0.7,0.7,0.9,2,3,3,0.6666666666666666,0.6666666666666666,0.5621951219512196,0.3333333333333333,"[""run_2:S3"", ""run_3:S3""]",True
france__batch_03,france,3,france__batch_03__cluster_01,S1,partial_alignment,enables_or_supports,perceived usefulness,AI tool usage,Perceived usefulness drives AI usage,"Sentiment evidence shows perceived usefulness encourages AI tool use among young people, with mutual reinforcement between usage intensity and perceived utility. Policy evidence indicates that after training, teachers with high self-efficacy use platforms more, implying a similar enabling mechanism but focused on training and self-efficacy rather than perceived usefulness. Both corpora link positive perceptions to increased usage, but the specific cause differs.","[""clean_sentence_005125""]","[""clean_sentence_018915"", ""clean_sentence_018917""]",[],adequate,True,1.0,0.6,0.4,1.0,0.5,0.7,0.6499999999999999,0.9,2,4,3,0.6666666666666666,0.5,0.7,0.5,"[""run_1:S1"", ""run_2:S2""]",True
france__batch_03,france,3,france__batch_03__cluster_02,S1,partial_alignment,risks_or_threatens,AI use in education,pedagogical risks,AI risks in education,"Policy evidence expresses fear that AI may replace essential pedagogical functions and widen gaps between students. Sentiment evidence shows young people anticipate AI will transform or threaten employment. Both address AI's threatening potential, but policy focuses on pedagogical functions and equity, while sentiment focuses on employment. This is a partial alignment with different outcomes.","[""clean_sentence_011429""]","[""clean_sentence_018925""]",[],adequate,True,1.0,0.55,0.55,1.0,1.0,0.7,0.675,0.9,2,4,3,0.6666666666666666,0.5,0.6951219512195123,1.0,"[""run_1:S2"", ""run_4:S1""]",True
france__batch_03,france,3,france__batch_03__cluster_03,S1,partial_alignment,enables_or_supports,AI training,AI tool usage,Training impact on AI adoption,"Policy evidence shows that after training, math teachers with high self-efficacy use AI platforms more. Sentiment evidence indicates that women who do not use AI more often cite need for training. Both link training to AI usage, but policy focuses on self-efficacy and specific platforms, while sentiment highlights gender-specific training needs. The causal direction is similar but the populations and mechanisms differ.","[""clean_sentence_005125""]","[""clean_sentence_018632""]",[],adequate,True,1.0,0.4666666666666666,0.4666666666666666,1.0,1.0,0.7,0.6333333333333333,0.9,3,4,3,1.0,0.75,0.5278624415416867,0.2222222222222222,"[""run_1:S3"", ""run_2:S1"", ""run_4:S5""]",True
ireland__batch_01,ireland,1,ireland__batch_01__cluster_02,S3,sentiment_gap,risks_or_threatens,overreliance on AI,passive students and supervisory teachers,Sentiment warns of passive learning roles,"Sentiment evidence reports risk of turning students into passive consumers and teachers into supervisors due to overreliance on AI. Policy evidence promotes active, learner-centred approaches but does not explicitly address this role transformation risk. The causal relationship is comparable: both concern AI's impact on learner and teacher roles, but sentiment highlights a negative outcome absent in policy.","[""clean_sentence_007878""]","[""clean_sentence_017250""]",[],adequate,True,1.0,0.3,0.6166666666666667,0.6666666666666666,1.0,0.8,0.6999999999999998,0.85,3,4,3,1.0,0.75,0.602418414918415,0.5555555555555555,"[""run_1:S2"", ""run_2:S1"", ""run_4:S3""]",True
ireland__batch_01,ireland,1,ireland__batch_01__cluster_03,S2,sentiment_gap,risks_or_threatens,AI use by students,examination system credibility,Sentiment warns AI undermines exam credibility,"Sentiment evidence states AI use among students has potential to undermine credibility of examination system. Policy evidence addresses AI-generated content in assessments but focuses on identification and treatment, not on systemic credibility risk. Both concern AI in assessment, but sentiment expresses a broader threat not mirrored in policy.","[""clean_sentence_009711""]","[""clean_sentence_017246""]",[],adequate,True,1.0,0.15,0.7,1.0,1.0,0.8,0.775,0.8500000000000001,2,4,3,0.6666666666666666,0.5,0.6801675977653631,1.0,"[""run_2:S2"", ""run_4:S2""]",True
ireland__batch_02,ireland,2,ireland__batch_02__cluster_03,S1,partial_alignment,enables_or_supports,GenAI use,teacher time savings,GenAI reduces teacher workload,"Policy states generative AI allows a potential decrease in workload, allowing more time for teachers. Sentiment reports an increase in belief that AI would enable teachers to have more time to focus on student learning. Both express a causal link from AI to time savings, but policy frames it as workload reduction while sentiment emphasizes focus on student learning, a related but distinct outcome.","[""clean_sentence_015235""]","[""clean_sentence_016764""]",[],strong,True,1.0,0.2333333333333333,0.2333333333333333,0.6666666666666666,0.6666666666666666,0.85,0.8666666666666667,0.8333333333333334,3,4,3,1.0,0.75,0.7489271938283512,1.0,"[""run_2:S3"", ""run_3:S1"", ""run_4:S1""]",True
