direction,source_claim_id,source_chunk_id,source_doc_id,source_country,source_topic_space,source_topic,source_topic_code,source_relation_type,source_claim,source_excerpt,matched_claim_id,matched_chunk_id,matched_topic_space,matched_topic,matched_topic_code,matched_claim,matched_excerpt,top1_similarity,topk_mean_similarity,coverage_deficit,embedding_method,analysis_country,below_calibrated_threshold,coverage_threshold,threshold_method
sentiment_to_policy,sentiment_claim_00120,sentiment_original_20251119_les_francais_lia_chunk_0004,sentiment_original_20251119_les_francais_lia,france,sentiment,8,S8,enables_or_supports,Une fracture avant tout cognitive L'étude permet de dépasser l'opposition simpliste entre 'technophobes' et 'technophiles'.,Une fracture avant tout cognitive L'étude permet de dépasser l'opposition simpliste entre 'technophobes' et 'technophiles'.,policy_claim_03189,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique_chunk_0013,policy,2,P2,"Un contexte marqué par une effervescence institutionnelle à tous les niveaux, au risque de la confusion l'IA et l'a venir des compétences, etc.).","Un contexte marqué par une effervescence institutionnelle à tous les niveaux, au risque de la confusion l'IA et l'a venir des compétences, etc.).",0.6134816408157349,0.6039804816246033,0.39601951837539673,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,france,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00121,sentiment_original_20251119_les_francais_lia_chunk_0008,sentiment_original_20251119_les_francais_lia,france,sentiment,8,S8,reduces_or_prevents,"Les réserves existent, mais se concentrent sur des sujets plus sensibles : l'inclusion (50 % d'avis positifs contre 32 % négatifs), les modes de consommation (50 % contre 36 %), et, surtout, la lutte contre le changement climatique, pour laquelle seuls 47 % des répondants jugent l'impact du numérique positif, contre 33 % qui l'estiment négatif.","Les réserves existent, mais se concentrent sur des sujets plus sensibles : l'inclusion (50 % d'avis positifs contre 32 % négatifs), les modes de consommation (50 % contre 36 %), et, surtout, la lutte contre le changement climatique, pour laquelle seuls 47 % des répondants jugent l'impact du numérique positif, contre 33 % qui l'estiment négatif.",policy_claim_03265,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique_chunk_0087,policy,2,P2,"Sur le terrain, de nombreux acteurs ne portent pas une attention suffisamment avancée sur la donnée alors que l'IA générative renforce le besoin d'un regard critique sur ces enjeux.","Sur le terrain, de nombreux acteurs ne portent pas une attention suffisamment avancée sur la donnée alors que l'IA générative renforce le besoin d'un regard critique sur ces enjeux.",0.5322943925857544,0.4918808937072754,0.5081191062927246,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,france,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00122,sentiment_original_20251119_les_francais_lia_chunk_0013,sentiment_original_20251119_les_francais_lia,france,sentiment,8,S8,enables_or_supports,Compétences à enseigner dans les modules sur l'IA Cette figure montre quelles compétences les répondants favorables à l’intégration de modules obligatoires sur l’IA souhaitent voir encouragées par les politiques publiques européennes.,Compétences à enseigner dans les modules sur l'IA Cette figure montre quelles compétences les répondants favorables à l’intégration de modules obligatoires sur l’IA souhaitent voir encouragées par les politiques publiques européennes.,policy_claim_01443,policy_ai_policy_and_regulations_of_france_comprehensive_report_chunk_0033,policy,6,P6,"Furthermore, France's embrace of the EU AI Act as the core future framework means it is helping shape, and will adopt, one of the world's first comprehensive AI regulations, cementing a commitment to 'trustworthy AI' across all sectors.","Furthermore, France's embrace of the EU AI Act as the core future framework means it is helping shape, and will adopt, one of the world's first comprehensive AI regulations, cementing a commitment to 'trustworthy AI' across all sectors.",0.7053793668746948,0.6926229000091553,0.3073770999908447,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,france,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00123,sentiment_original_20251119_les_francais_lia_chunk_0014,sentiment_original_20251119_les_francais_lia,france,sentiment,8,S8,enables_or_supports,C'est précisément pour éviter ce glissement que la formation doit être pensée comme un levier de maîtrise collective et non comme une simple faculté individuelle.,C'est précisément pour éviter ce glissement que la formation doit être pensée comme un levier de maîtrise collective et non comme une simple faculté individuelle.,policy_claim_03262,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique_chunk_0084,policy,2,P2,"Si un parcours est déjà conçu par d'autres la marge de manœuvre de l'enseignan t dans la classe risque de se réduire, voire se limiter, à un geste technique peu porteur de sens.","Si un parcours est déjà conçu par d'autres la marge de manœuvre de l'enseignan t dans la classe risque de se réduire, voire se limiter, à un geste technique peu porteur de sens.",0.635829746723175,0.6297540664672852,0.37024593353271484,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,france,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00124,sentiment_original_20251119_les_francais_lia_chunk_0015,sentiment_original_20251119_les_francais_lia,france,sentiment,8,S8,reduces_or_prevents,"Dès lors, une interrogation apparaît : ces efforts permettront-ils réellement de réduire la fracture cognitive mise en lumière par l'enquête ?","Dès lors, une interrogation apparaît : ces efforts permettront-ils réellement de réduire la fracture cognitive mise en lumière par l'enquête ?",policy_claim_03289,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique_chunk_0106,policy,2,P2,"Ne présenter que partiellement ces éléments risque de donner une vision faussée et stérile, mais les considérer dans leur globalité nécessite de relever le défi du travail interdisciplinaire.","Ne présenter que partiellement ces éléments risque de donner une vision faussée et stérile, mais les considérer dans leur globalité nécessite de relever le défi du travail interdisciplinaire.",0.603019118309021,0.599444568157196,0.40055543184280396,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,france,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00125,sentiment_original_20251119_les_francais_lia_chunk_0016,sentiment_original_20251119_les_francais_lia,france,sentiment,8,S8,reduces_or_prevents,"Présenté comme un outil de lutte contre l'exploitation sexuelle des mineurs - objectif évidemment incontestable il reposait, en 2022, sur une analyse systématique et automatisée des communications privées, y compris chiffrées.","Présenté comme un outil de lutte contre l'exploitation sexuelle des mineurs - objectif évidemment incontestable il reposait, en 2022, sur une analyse systématique et automatisée des communications privées, y compris chiffrées.",policy_claim_03361,policy_men_dne_brochure_ia_2024_uk_web_chunk_0001,policy,2,P2,"Abstract This document, produced by the Digital Directorate for Education (Ministry of National Education and Youth), offers an inventory (January 2024) of the contributions of research and the guidelines of international institutions on the artificial intelligence (AI) and education: diversity of definitions and approaches, issues for public policies, ethical issues, fields of application, avenues for training and teaching, perspectives with the turning point of generative AI and great language models.","Abstract This document, produced by the Digital Directorate for Education (Ministry of National Education and Youth), offers an inventory (January 2024) of the contributions of research and the guidelines of international institutions on the artificial intelligence (AI) and education: diversity of definitions and approaches, issues for public policies, ethical issues, fields of application, avenues for training and teaching, perspectives with the turning point of generative AI and great language models.",0.5068153142929077,0.4936874806880951,0.5063125193119049,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,france,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00126,sentiment_original_20251119_les_francais_lia_chunk_0016,sentiment_original_20251119_les_francais_lia,france,sentiment,8,S8,enables_or_supports,"Proposition de règlement du parlement européen et du conseil établissant des règles en vue de prévenir et de combattre les abus sexuels sur enfants, n° 2022/0155, du 11 mai 2022 ; Voir également : Le Monde, « Chat Control » : le projet européen de surveillance des messageries largement abandonné , 31 oct.","Proposition de règlement du parlement européen et du conseil établissant des règles en vue de prévenir et de combattre les abus sexuels sur enfants, n° 2022/0155, du 11 mai 2022 ; Voir également : Le Monde, « Chat Control » : le projet européen de surveillance des messageries largement abandonné , 31 oct.",policy_claim_03379,policy_men_dne_brochure_ia_2024_uk_web_chunk_0018,policy,6,P6,"This regulation aims to ensure that fundamental rights, democracy, the rule of law and environmental sustainability are protected from high risk AI , while boosting innovation and making Europe a leader in the field.","This regulation aims to ensure that fundamental rights, democracy, the rule of law and environmental sustainability are protected from high risk AI , while boosting innovation and making Europe a leader in the field.",0.4633328318595886,0.46129488945007324,0.5387051105499268,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,france,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00127,sentiment_original_20251119_les_francais_lia_chunk_0017,sentiment_original_20251119_les_francais_lia,france,sentiment,8,S8,enables_or_supports,"Former pour comprendre les usages et les impacts du parlement européen et du conseil établissant des règles en vue de prévenir et de combattre les abus sexuels sur enfants, n° 2022/0155, du 11 mai 2022 ; Voir également : Le Monde, « Chat Control » : le projet européen de surveillance des messageries largement abandonné , 31 oct.","Former pour comprendre les usages et les impacts du parlement européen et du conseil établissant des règles en vue de prévenir et de combattre les abus sexuels sur enfants, n° 2022/0155, du 11 mai 2022 ; Voir également : Le Monde, « Chat Control » : le projet européen de surveillance des messageries largement abandonné , 31 oct.",policy_claim_03329,policy_l_intelligence_artificielle_en_ducation_cadre_d_usage_et_de_confiance_chunk_0001,policy,2,P2,"Ils concernent, notamment, la sécurisation des pratiques des personnels et des élèves, leur accompagnement, l'information et la formation de la communauté éducative ou encore la nécessité d'assurer une cohérence des actions au sein de la région académique d'Île-de-France.","Ils concernent, notamment, la sécurisation des pratiques des personnels et des élèves, leur accompagnement, l'information et la formation de la communauté éducative ou encore la nécessité d'assurer une cohérence des actions au sein de la région académique d'Île-de-France.",0.5146162509918213,0.4883462190628052,0.5116537809371948,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,france,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00128,sentiment_original_20251119_les_francais_lia_chunk_0018,sentiment_original_20251119_les_francais_lia,france,sentiment,8,S8,enables_or_supports,"Un cadre européen attendu L'enquête montre que 52 % des répondants considèrent le développement de l'IA comme un enjeu majeur pour l'Union européenne, à condition qu'il soit accompagné d'une régulation stricte pour éviter les dérives.","Un cadre européen attendu L'enquête montre que 52 % des répondants considèrent le développement de l'IA comme un enjeu majeur pour l'Union européenne, à condition qu'il soit accompagné d'une régulation stricte pour éviter les dérives.",policy_claim_01443,policy_ai_policy_and_regulations_of_france_comprehensive_report_chunk_0033,policy,6,P6,"Furthermore, France's embrace of the EU AI Act as the core future framework means it is helping shape, and will adopt, one of the world's first comprehensive AI regulations, cementing a commitment to 'trustworthy AI' across all sectors.","Furthermore, France's embrace of the EU AI Act as the core future framework means it is helping shape, and will adopt, one of the world's first comprehensive AI regulations, cementing a commitment to 'trustworthy AI' across all sectors.",0.699415922164917,0.6791499257087708,0.32085007429122925,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,france,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00129,sentiment_original_20251119_les_francais_lia_chunk_0018,sentiment_original_20251119_les_francais_lia,france,sentiment,8,S8,enables_or_supports,"Les principales réponses sont : - L’Union européenne doit faire du développement de l’IA un enjeu important, tout en veillant à une régulation stricte pour éviter les dérives : 52 %.","Les principales réponses sont : - L’Union européenne doit faire du développement de l’IA un enjeu important, tout en veillant à une régulation stricte pour éviter les dérives : 52 %.",policy_claim_03379,policy_men_dne_brochure_ia_2024_uk_web_chunk_0018,policy,6,P6,"This regulation aims to ensure that fundamental rights, democracy, the rule of law and environmental sustainability are protected from high risk AI , while boosting innovation and making Europe a leader in the field.","This regulation aims to ensure that fundamental rights, democracy, the rule of law and environmental sustainability are protected from high risk AI , while boosting innovation and making Europe a leader in the field.",0.7117034196853638,0.7050212025642395,0.2949787974357605,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,france,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
